1,2,3,4,5,6,7,8,9
0.0031,1,10,0,6.232e+05,6.1592e+05,1.3524e+05,27798,55390
0.0031,3,10,0,4.556e+05,4.5135e+05,1.358e+05,27771,55441
0.0031,5,10,0,4.5034e+05,4.4948e+05,1.3629e+05,27868,55679
0.0031,7,10,0,4.5512e+05,4.5773e+05,1.3678e+05,28164,56256
0.0031,9,10,0,4.714e+05,4.7749e+05,1.3726e+05,28734,57322
0.0031,1,10,2.5,6.2311e+05,6.1584e+05,1.3524e+05,27794,55383
0.0031,3,10,2.5,4.5529e+05,4.5104e+05,1.358e+05,27752,55403
0.0031,5,10,2.5,4.4997e+05,4.4911e+05,1.3629e+05,27845,55633
0.0031,7,10,2.5,4.5499e+05,4.5759e+05,1.3678e+05,28155,56239
0.0031,9,10,2.5,4.7194e+05,4.7804e+05,1.3726e+05,28767,57388
0.0031,1,10,5,6.2309e+05,6.1582e+05,1.3524e+05,27793,55381
0.0031,3,10,5,4.5492e+05,4.5068e+05,1.358e+05,27730,55358
0.0031,5,10,5,4.4952e+05,4.4866e+05,1.3629e+05,27817,55578
0.0031,7,10,5,4.5482e+05,4.5742e+05,1.3678e+05,28145,56218
0.0031,9,10,5,4.7257e+05,4.7868e+05,1.3726e+05,28806,57465
0.0031,1,10,7.5,6.2324e+05,6.1596e+05,1.3524e+05,27800,55394
0.0031,3,10,7.5,4.5447e+05,4.5023e+05,1.358e+05,27702,55302
0.0031,5,10,7.5,4.4897e+05,4.4811e+05,1.3629e+05,27783,55509
0.0031,7,10,7.5,4.5459e+05,4.572e+05,1.3678e+05,28131,56190
0.0031,9,10,7.5,4.7332e+05,4.7944e+05,1.3726e+05,28851,57556
0.0031,1,10,10,6.2371e+05,6.1642e+05,1.3524e+05,27821,55436
0.0031,3,10,10,4.539e+05,4.4966e+05,1.358e+05,27667,55233
0.0031,5,10,10,4.4827e+05,4.4742e+05,1.3629e+05,27740,55423
0.0031,7,10,10,4.5429e+05,4.5689e+05,1.3678e+05,28112,56153
0.0031,9,10,10,4.7419e+05,4.8032e+05,1.3726e+05,28904,57663
0.0031,1,10,12.5,6.2393e+05,6.1664e+05,1.3524e+05,27831,55456
0.0031,3,10,12.5,4.5318e+05,4.4895e+05,1.358e+05,27624,55146
0.0031,5,10,12.5,4.4739e+05,4.4653e+05,1.3629e+05,27685,55314
0.0031,7,10,12.5,4.5388e+05,4.5648e+05,1.3678e+05,28087,56102
0.0031,9,10,12.5,4.7522e+05,4.8136e+05,1.3726e+05,28967,57787
0.0031,1,10,15,6.2421e+05,6.1692e+05,1.3524e+05,27843,55481
0.0031,3,10,15,4.5227e+05,4.4805e+05,1.358e+05,27568,55034
0.0031,5,10,15,4.4624e+05,4.4538e+05,1.3629e+05,27614,55171
0.0031,7,10,15,4.533e+05,4.559e+05,1.3678e+05,28051,56031
0.0031,9,10,15,4.7641e+05,4.8257e+05,1.3726e+05,29040,57933
0.0031,1,10,17.5,6.2457e+05,6.1728e+05,1.3524e+05,27860,55513
0.0031,3,10,17.5,4.5108e+05,4.4687e+05,1.358e+05,27495,54889
0.0031,5,10,17.5,4.4473e+05,4.4388e+05,1.3629e+05,27520,54985
0.0031,7,10,17.5,4.5249e+05,4.5508e+05,1.3678e+05,28001,55930
0.0031,9,10,17.5,4.7781e+05,4.8398e+05,1.3726e+05,29124,58103
0.0031,1,10,20,6.2505e+05,6.1776e+05,1.3524e+05,27881,55556
0.0031,3,10,20,4.4951e+05,4.4531e+05,1.358e+05,27400,54698
0.0031,5,10,20,4.4272e+05,4.4187e+05,1.3629e+05,27396,54735
0.0031,7,10,20,4.5132e+05,4.5391e+05,1.3678e+05,27929,55786
0.0031,9,10,20,4.7942e+05,4.8561e+05,1.3726e+05,29223,58299
0.0031,1,10,22.5,6.2569e+05,6.1838e+05,1.3524e+05,27909,55613
0.0031,3,10,22.5,4.5091e+05,4.467e+05,1.358e+05,27485,54869
0.0031,5,10,22.5,4.4e+05,4.3916e+05,1.3629e+05,27228,54399
0.0031,7,10,22.5,4.4965e+05,4.5222e+05,1.3678e+05,27825,55578
0.0031,9,10,22.5,4.8125e+05,4.8747e+05,1.3726e+05,29335,58523
0.0031,1,10,25,6.2654e+05,6.1923e+05,1.3524e+05,27947,55689
0.0031,3,10,25,4.5448e+05,4.5023e+05,1.358e+05,27702,55304
0.0031,5,10,25,4.363e+05,4.3547e+05,1.3629e+05,26999,53941
0.0031,7,10,25,4.4721e+05,4.4978e+05,1.3678e+05,27674,55277
0.0031,9,10,25,4.833e+05,4.8954e+05,1.3726e+05,29459,58772
0.0031,1,10,27.5,6.2769e+05,6.2036e+05,1.3524e+05,27999,55791
0.0031,3,10,27.5,4.6164e+05,4.5734e+05,1.358e+05,28139,56178
0.0031,5,10,27.5,4.3125e+05,4.3042e+05,1.3629e+05,26686,53316
0.0031,7,10,27.5,4.4369e+05,4.4623e+05,1.3678e+05,27456,54841
0.0031,9,10,27.5,4.8544e+05,4.9172e+05,1.3726e+05,29590,59034
0.0031,1,10,30,6.2921e+05,6.2186e+05,1.3524e+05,28066,55927
0.0031,3,10,30,4.746e+05,4.7017e+05,1.358e+05,28929,57756
0.0031,5,10,30,4.2441e+05,4.236e+05,1.3629e+05,26263,52470
0.0031,7,10,30,4.3863e+05,4.4114e+05,1.3678e+05,27143,54214
0.0031,9,10,30,4.8744e+05,4.9374e+05,1.3726e+05,29712,59278
0.0031,1,10,32.5,6.3116e+05,6.2379e+05,1.3524e+05,28153,56101
0.0031,3,10,32.5,4.811e+05,4.7661e+05,1.358e+05,29325,58549
0.0031,5,10,32.5,4.1547e+05,4.1467e+05,1.3629e+05,25710,51363
0.0031,7,10,32.5,4.3159e+05,4.3406e+05,1.3678e+05,26707,53344
0.0031,9,10,32.5,4.8876e+05,4.9507e+05,1.3726e+05,29792,59438
0.0031,1,10,35,6.3346e+05,6.2606e+05,1.3524e+05,28256,56306
0.0031,3,10,35,4.8882e+05,4.8426e+05,1.358e+05,29796,59491
0.0031,5,10,35,4.0465e+05,4.0387e+05,1.3629e+05,25040,50024
0.0031,7,10,35,4.2248e+05,4.249e+05,1.3678e+05,26144,52216
0.0031,9,10,35,4.8847e+05,4.9478e+05,1.3726e+05,29775,59403
0.0031,1,10,37.5,6.3576e+05,6.2834e+05,1.3524e+05,28359,56511
0.0031,3,10,37.5,4.9662e+05,4.9199e+05,1.358e+05,30272,60442
0.0031,5,10,37.5,3.9342e+05,3.9267e+05,1.3629e+05,24345,48634
0.0031,7,10,37.5,4.1218e+05,4.1454e+05,1.3678e+05,25506,50941
0.0031,9,10,37.5,4.8548e+05,4.9175e+05,1.3726e+05,29592,59038
0.0031,1,10,40,6.3742e+05,6.2998e+05,1.3524e+05,28433,56660
0.0031,3,10,40,5.0235e+05,4.9766e+05,1.358e+05,30620,61139
0.0031,5,10,40,3.8474e+05,3.84e+05,1.3629e+05,23808,47560
0.0031,7,10,40,4.0296e+05,4.0527e+05,1.3678e+05,24936,49800
0.0031,9,10,40,4.7926e+05,4.8545e+05,1.3726e+05,29213,58280
0.0031,1,10,42.5,6.3785e+05,6.3041e+05,1.3524e+05,28452,56698
0.0031,3,10,42.5,5.0399e+05,4.9929e+05,1.358e+05,30721,61340
0.0031,5,10,42.5,4.1426e+05,4.1346e+05,1.3629e+05,25635,51213
0.0031,7,10,42.5,3.9758e+05,3.9985e+05,1.3678e+05,24602,49134
0.0031,9,10,42.5,4.7083e+05,4.7691e+05,1.3726e+05,28699,57252
0.0031,1,10,45,6.3702e+05,6.2959e+05,1.3524e+05,28415,56624
0.0031,3,10,45,5.0142e+05,4.9674e+05,1.358e+05,30564,61027
0.0031,5,10,45,4.4736e+05,4.4651e+05,1.3629e+05,27683,55311
0.0031,7,10,45,3.971e+05,3.9938e+05,1.3678e+05,24573,49075
0.0031,9,10,45,4.6239e+05,4.6836e+05,1.3726e+05,28185,56223
0.0031,1,10,47.5,6.3544e+05,6.2802e+05,1.3524e+05,28344,56483
0.0031,3,10,47.5,4.9628e+05,4.9164e+05,1.358e+05,30250,60399
0.0031,5,10,47.5,4.7627e+05,4.7536e+05,1.3629e+05,29472,58888
0.0031,7,10,47.5,4.0034e+05,4.0263e+05,1.3678e+05,24773,49476
0.0031,9,10,47.5,4.5568e+05,4.6157e+05,1.3726e+05,27776,55406
0.0031,1,10,50,6.3366e+05,6.2626e+05,1.3524e+05,28265,56324
0.0031,3,10,50,4.9042e+05,4.8585e+05,1.358e+05,29893,59686
0.0031,5,10,50,4.9772e+05,4.9676e+05,1.3629e+05,30799,61542
0.0031,7,10,50,4.053e+05,4.0762e+05,1.3678e+05,25081,50090
0.0031,9,10,50,4.5118e+05,4.5701e+05,1.3726e+05,27501,54857
0.0031,1,11,0,6.237e+05,6.17e+05,1.3524e+05,25282,50355
0.0031,3,11,0,4.5661e+05,4.524e+05,1.358e+05,25250,50389
0.0031,5,11,0,4.5058e+05,4.4916e+05,1.3629e+05,25306,50552
0.0031,7,11,0,4.5266e+05,4.5409e+05,1.3678e+05,25503,50946
0.0031,9,11,0,4.6391e+05,4.6823e+05,1.3726e+05,25892,51674
0.0031,11,11,0,6.4732e+05,6.5435e+05,1.3774e+05,26524,52839
0.0031,1,11,2.5,6.2363e+05,6.1693e+05,1.3524e+05,25279,50349
0.0031,3,11,2.5,4.5632e+05,4.5212e+05,1.358e+05,25234,50357
0.0031,5,11,2.5,4.5021e+05,4.4878e+05,1.3629e+05,25285,50510
0.0031,7,11,2.5,4.5241e+05,4.5385e+05,1.3678e+05,25489,50918
0.0031,9,11,2.5,4.6413e+05,4.6844e+05,1.3726e+05,25904,51698
0.0031,11,11,2.5,6.4882e+05,6.5586e+05,1.3774e+05,26586,52962
0.0031,1,11,5,6.2362e+05,6.1693e+05,1.3524e+05,25279,50349
0.0031,3,11,5,4.5598e+05,4.5177e+05,1.358e+05,25215,50319
0.0031,5,11,5,4.4975e+05,4.4833e+05,1.3629e+05,25259,50458
0.0031,7,11,5,4.5211e+05,4.5354e+05,1.3678e+05,25473,50885
0.0031,9,11,5,4.6437e+05,4.6869e+05,1.3726e+05,25918,51725
0.0031,11,11,5,6.5061e+05,6.5767e+05,1.3774e+05,26659,53108
0.0031,1,11,7.5,6.2381e+05,6.1711e+05,1.3524e+05,25286,50364
0.0031,3,11,7.5,4.5555e+05,4.5135e+05,1.358e+05,25191,50272
0.0031,5,11,7.5,4.4919e+05,4.4777e+05,1.3629e+05,25228,50395
0.0031,7,11,7.5,4.5173e+05,4.5317e+05,1.3678e+05,25451,50842
0.0031,9,11,7.5,4.6465e+05,4.6897e+05,1.3726e+05,25933,51757
0.0031,11,11,7.5,6.5273e+05,6.5982e+05,1.3774e+05,26746,53283
0.0031,1,11,10,6.2417e+05,6.1747e+05,1.3524e+05,25301,50393
